frame_no,frame_type,temporal,layer,qid,qp,y_psnr,u_psnr,v_psnr,bits
76,P,0,0,0,30,39.4237,40.212,38.3766,36032
76,P,0,1,0,29,40.5132,41.4178,40.1107,32424
76,P,0,2,0,26,43.4623,44.5026,44.4027,73768
74,P,1,0,0,33,38.5007,38.3724,36.8489,10032
74,P,1,1,0,32,38.8292,39.6747,38.0512,16544
74,P,1,2,0,29,41.0432,41.8514,41.4848,39416
73,P,2,0,0,34,38.3449,37.5708,36.0885,5896
73,P,2,1,0,33,38.2914,38.6072,37.1548,9424
73,P,2,2,0,30,39.9613,40.9519,39.7872,23488
75,P,2,0,0,34,38.3764,37.8733,36.4748,6712
75,P,2,1,0,33,38.0908,39.0559,37.558,10112
75,P,2,2,0,30,39.7893,40.7049,39.972,21672
80,P,0,0,0,30,39.5694,40.4106,38.7526,42304
80,P,0,1,0,29,40.5388,41.5037,40.3583,37744
80,P,0,2,0,26,43.2873,44.3986,44.3635,77168
78,P,1,0,0,33,38.4578,37.965,36.7441,11552
78,P,1,1,0,32,38.7465,38.9505,38.0367,17112
78,P,1,2,0,29,41.0373,41.8483,41.4346,44208
77,P,2,0,0,34,38.3591,37.4724,35.8701,6504
77,P,2,1,0,33,38.2056,38.3801,37.0459,9784
77,P,2,2,0,30,39.9486,40.6787,39.6301,22952
79,P,2,0,0,34,38.4107,37.6144,36.0034,6784
79,P,2,1,0,33,38.157,38.5028,37.0589,9840
79,P,2,2,0,30,39.8176,40.6555,39.4536,24312
84,P,0,0,0,30,39.3147,40.3587,38.8965,46000
84,P,0,1,0,29,40.2303,41.0197,39.8556,34856
84,P,0,2,0,26,43.0707,44.2685,44.1216,81832
82,P,1,0,0,33,38.2158,38.183,36.4011,10528
82,P,1,1,0,32,38.5418,38.9662,37.5127,17488
82,P,1,2,0,29,40.7607,41.5459,41.3874,46976
81,P,2,0,0,34,38.1918,37.4194,35.6868,6720
81,P,2,1,0,33,38.1577,38.4722,36.9985,9696
81,P,2,2,0,30,39.7434,40.6094,39.6957,24696
83,P,2,0,0,34,38.372,37.3615,35.7717,6528
83,P,2,1,0,33,37.8978,38.2759,37.0566,10664
83,P,2,2,0,30,39.7017,40.0681,39.4052,23104
88,P,0,0,0,30,38.9533,39.3639,37.8433,41584
88,P,0,1,0,29,39.9602,40.8305,39.7967,43176
88,P,0,2,0,26,42.8484,44.063,43.8845,86416
86,P,1,0,0,33,38.1617,37.4992,36.3855,11824
86,P,1,1,0,32,38.4217,38.7699,37.5388,18280
86,P,1,2,0,29,40.5501,41.6356,41.1857,48560
85,P,2,0,0,34,38.0848,36.9296,35.3833,6832
85,P,2,1,0,33,37.6347,37.9059,36.8575,11808
85,P,2,2,0,30,39.4679,40.3787,39.5287,27312
87,P,2,0,0,34,37.8831,36.9146,35.7482,7992
87,P,2,1,0,33,37.813,37.868,36.6007,10224
87,P,2,2,0,30,39.6492,40.4521,39.5228,25800
92,P,0,0,0,30,38.7026,39.983,38.6601,44280
92,P,0,1,0,29,39.7264,40.9857,39.9815,43512
92,P,0,2,0,26,42.5678,43.8361,43.6721,90696
90,P,1,0,0,33,37.8943,37.7685,36.0383,12920
90,P,1,1,0,32,38.208,39.03,37.3011,17192
90,P,1,2,0,29,40.2531,41.4438,41.3316,52160
89,P,2,0,0,34,37.8143,36.9215,35.2193,7776
89,P,2,1,0,33,37.7499,37.9178,36.3065,10592
89,P,2,2,0,30,39.8151,40.2659,38.8914,22944
91,P,2,0,0,34,37.8003,37.245,35.3904,7616
91,P,2,1,0,33,37.7471,38.1961,36.5011,10344
91,P,2,2,0,30,39.6815,40.3266,39.4428,23792
96,I,0,0,0,30,38.9168,41.1734,40.237,64080
96,I,0,1,0,29,39.6088,41.1702,40.2523,39848
96,I,0,2,0,26,42.3508,44.0272,43.7983,93360
94,P,1,0,0,33,37.8942,37.4348,36.1229,13040
94,P,1,1,0,32,38.0272,38.7696,37.0731,19200
94,P,1,2,0,29,40.1428,41.4341,41.0415,52512
93,P,2,0,0,34,37.8579,37.1141,35.5296,7752
93,P,2,1,0,33,37.5536,38.0119,36.3412,10560
93,P,2,2,0,30,39.3438,40.0969,39.0736,25840
95,P,2,0,0,34,37.7066,36.8492,35.5023,7456
95,P,2,1,0,33,37.5148,37.4533,36.2384,10632
95,P,2,2,0,30,39.4304,40.0699,38.9914,24088
100,P,0,0,0,30,37.8347,39.716,38.4969,38112
100,P,0,1,0,29,39.1355,40.5235,39.5277,44928
100,P,0,2,0,26,42.0962,43.6809,43.4668,100576
98,P,1,0,0,33,37.3854,37.3418,35.8471,12416
98,P,1,1,0,32,37.8157,38.2532,36.9475,18168
98,P,1,2,0,29,39.9002,41.4357,40.8562,54440
97,P,2,0,0,34,37.6368,36.9908,35.617,7952
97,P,2,1,0,33,37.3158,37.6356,36.1659,10624
97,P,2,2,0,30,39.343,39.8897,39.1997,25952
99,P,2,0,0,34,37.1787,36.4774,35.271,8000
99,P,2,1,0,33,37.0872,37.2898,35.9813,10816
99,P,2,2,0,30,39.148,40.1374,38.953,25688
104,P,0,0,0,30,37.758,39.3134,37.9371,45352
104,P,0,1,0,29,39.0168,40.3345,39.3544,47800
104,P,0,2,0,26,41.8706,43.3839,43.1,103224
102,P,1,0,0,33,37.2016,37.1409,35.5301,13112
102,P,1,1,0,32,37.5689,38.1996,36.4805,19520
102,P,1,2,0,29,39.67,40.992,40.5053,50440
101,P,2,0,0,34,36.8676,36.3341,34.9957,8992
101,P,2,1,0,33,37.1737,37.3815,35.9699,10424
101,P,2,2,0,30,39.2025,39.7314,39.0912,24752
103,P,2,0,0,34,37.0206,36.3686,35.087,7952
103,P,2,1,0,33,37.0193,37.3431,35.7944,11224
103,P,2,2,0,30,38.8338,39.7156,38.8228,26584
108,P,0,0,0,30,37.6985,39.5081,38.3036,51464
108,P,0,1,0,29,38.8093,40.5524,39.152,46120
108,P,0,2,0,26,41.6533,43.3679,43.1537,107912
106,P,1,0,0,33,37.0293,36.9433,35.3727,14096
106,P,1,1,0,32,37.4426,37.8955,36.4703,18568
106,P,1,2,0,29,39.5426,40.9791,40.5263,54048
105,P,2,0,0,34,36.8243,36.3032,34.6279,8016
105,P,2,1,0,33,36.8669,37.3571,35.7573,11696
105,P,2,2,0,30,38.8742,39.4107,38.7629,27520
107,P,2,0,0,34,36.8435,36.5448,34.7727,8648
107,P,2,1,0,33,36.7778,37.3628,35.8495,12096
107,P,2,2,0,30,38.6642,39.7472,38.7614,28688
112,P,0,0,0,30,37.3183,39.5263,38.174,50976
112,P,0,1,0,29,38.5523,40.1058,38.8201,50432
112,P,0,2,0,26,41.4547,43.1233,42.956,114376
110,P,1,0,0,33,36.786,36.8884,35.1074,14728
110,P,1,1,0,32,37.2896,37.9066,36.2859,19112
110,P,1,2,0,29,39.2657,40.9641,40.4474,57784
109,P,2,0,0,34,36.8236,36.0403,34.4847,8520
109,P,2,1,0,33,36.6885,36.973,35.5812,12752
109,P,2,2,0,30,38.5931,39.4899,38.6995,28744
111,P,2,0,0,34,36.5363,35.7999,34.5746,9056
111,P,2,1,0,33,36.6767,36.7723,35.545,12168
111,P,2,2,0,30,38.558,39.6272,38.6259,29512
116,P,0,0,0,30,37.2462,39.7399,38.2418,55880
116,P,0,1,0,29,38.3791,40.2518,39.0959,50760
116,P,0,2,0,26,41.2284,42.9491,42.6977,117416
114,P,1,0,0,33,36.7157,36.934,35.4039,16592
114,P,1,1,0,32,37.138,37.9728,36.5269,20784
114,P,1,2,0,29,39.1551,40.7566,40.2758,55704
113,P,2,0,0,34,36.4485,36.1025,34.4416,9784
113,P,2,1,0,33,36.4471,36.8135,35.3733,13384
113,P,2,2,0,30,38.5759,39.4464,38.5619,28536
115,P,2,0,0,34,36.4353,36.1181,34.1932,9320
115,P,2,1,0,33,36.3655,36.7739,35.2228,13080
115,P,2,2,0,30,38.147,39.3514,38.279,30760
120,P,0,0,0,30,36.8716,39.2614,37.6476,47560
120,P,0,1,0,29,38.0516,39.8147,38.5134,50552
120,P,0,2,0,26,41.0582,42.7293,42.6364,125120
118,P,1,0,0,33,36.4398,36.7791,35.0905,14632
118,P,1,1,0,32,36.7597,37.8536,36.1806,20976
118,P,1,2,0,29,38.9637,40.6682,39.8731,57800
117,P,2,0,0,34,36.3231,36.0164,34.1307,8704
117,P,2,1,0,33,36.3302,37.0274,35.0979,13472
117,P,2,2,0,30,38.2302,39.3294,38.1048,31816
119,P,2,0,0,34,36.3109,36.3496,34.3721,8960
119,P,2,1,0,33,36.3387,36.9604,35.5157,12848
119,P,2,2,0,30,38.2237,39.1427,37.975,30368
124,P,0,0,0,30,36.8089,39.0302,37.7403,54928
124,P,0,1,0,29,37.987,39.8526,38.6214,54264
124,P,0,2,0,26,40.8456,42.6583,42.513,128272
122,P,1,0,0,33,36.4235,36.6936,35.0019,15312
122,P,1,1,0,32,36.8191,37.786,36.0198,21696
122,P,1,2,0,29,38.7668,40.2544,39.7013,59568
121,P,2,0,0,34,36.0867,36.0075,34.0802,10040
121,P,2,1,0,33,36.1127,36.7776,35.2837,12760
121,P,2,2,0,30,38.1238,39.1228,37.9595,33192
123,P,2,0,0,34,36.2536,36.1129,34.2313,8984
123,P,2,1,0,33,36.2569,36.837,35.0614,12192
123,P,2,2,0,30,38.1587,39.0771,37.7459,31192
128,P,0,0,0,30,36.6993,38.6087,37.2921,54168
128,P,0,1,0,29,37.7766,39.7623,38.2203,52952
128,P,0,2,0,26,40.6684,42.5322,42.3785,133960
126,P,1,0,0,33,36.2456,36.2415,34.6813,14848
126,P,1,1,0,32,36.6253,37.2976,35.6883,21488
126,P,1,2,0,29,38.73,40.1957,39.3903,59096
125,P,2,0,0,34,35.9609,35.8307,34.0295,10008
125,P,2,1,0,33,36.1385,36.7431,35.1202,12464
125,P,2,2,0,30,38.0241,38.9224,37.8161,34008
127,P,2,0,0,34,36.1397,36.115,33.8918,8512
127,P,2,1,0,33,36.2872,37.1516,35.0713,12184
127,P,2,2,0,30,38.1792,39.0543,37.6738,31184
132,P,0,0,0,30,36.5609,39.1828,37.7355,56776
132,P,0,1,0,29,37.7632,39.8154,38.4411,60392
132,P,0,2,0,26,40.5354,42.4205,42.2904,137752
130,P,1,0,0,33,36.2312,36.3668,34.6948,14824
130,P,1,1,0,32,36.6176,37.5415,35.7901,21296
130,P,1,2,0,29,38.6267,40.1065,39.1382,60472
